"Level","Code","Description","Rulings","Reference to ISIC Rev. 4","This item includes","This item also includes","This item excludes"
"1","A","AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA","Esta sección comprende el aprovechamiento de los recursos naturales vegetales y animales, incluyendo las actividades de producción agrícola, cría y reproducción de animales, recolección de madera y de otras plantas y animales en una explotación o su hábitat natural.","","","","A","This section includes the exploitation of vegetal and animal natural resources, comprising the activities of growing of crops, raising and breeding of animals, harvesting of timber and other plants, animals or animal products from a farm or their natural habitats.","",""
"2","01","Agricultura, ganadería, caza y servicios relacionados con las mismas","Esta división incluye dos actividades fundamentales, la producción agrícola y la producción animal, incluyendo asimismo la agricultura orgánica, el cultivo de productos agrarios modificados genéticamente y la cría de animales modificados genéticamente. Esta división incluye la producción agrícola tanto en superficies a cielo abierto como en invernaderos.

Esta división incluye también los servicios de apoyo a la agricultura, así como la caza, la captura de animales y las actividades relacionadas con las mismas.

El grupo 01.5 (Producción agrícola combinada con la producción ganadera) se aparta de los principios habituales de determinación de la actividad principal. En él se acepta que muchas explotaciones agrarias tienen una producción agrícola y ganadera razonablemente equilibrada y que sería arbitrario clasificarlas en una categoría u otra.","","Las actividades agrarias excluyen cualquier elaboración posterior de los productos agrarios [clasificada en las divisiones 10 y 11 (Industrias de la alimentación y las bebidas), y 12 (Industria del tabaco)], aparte de la que resulta necesaria para prepararlos para los mercados primarios. Se incluye en este apartado la preparación de productos para los mercados primarios.

La división excluye los trabajos de construcción para la preparación de terrenos (por ejemplo, el abancalamiento, el drenaje, la preparación de arrozales, etc.), clasificada en la sección F (Construcción), y los compradores y asociaciones cooperativas que se dedican a la comercialización de productos agrarios clasificados en la sección G. Excluye también el mantenimiento y cuidado de jardines, clasificado en la clase 81.30 (Actividades de jardinería).","","01","This division includes two basic activities, namely the production of crop products and production of animal products, covering also the forms of organic agriculture, the growing of genetically modified crops and the raising of genetically modified animals. This division includes growing of crops in open fields as well in greenhouses.

Group 01.5 (Mixed farming) breaks with the usual principles for identifying main activity. It accepts that many agricultural holdings have reasonably balanced crop and animal production, and that it would be arbitrary to classify them in one category or the other.","This division also includes service activities incidental to agriculture, as well as hunting, trapping and related activities.","Agricultural activities exclude any subsequent processing of the agricultural products (classified under divisions 10 and 11 (Manufacture of food products and beverages) and division 12 (Manufacture of tobacco products)), beyond that needed to prepare them for the primary markets. The preparation of products for the primary markets is included here.

The division excludes field construction (e.g. agricultural land terracing, drainage, preparing rice paddies etc.) classified in section F (Construction) and buyers and cooperative associations engaged in the marketing of farm products classified in section G. Also excluded is the landscape care and maintenance, which is classified in class 81.30."
"3","01.1","Cultivos no perennes","Se incluye en este grupo el cultivo de plantas no perennes, por ejemplo, plantas que no duran más de dos temporadas. Se incluye el cultivo de estas plantas para la producción de semillas.","","","","011","This group includes the growing of non-perennial crops, i.e. plants that do not last for more than two growing seasons. Included is the growing of these plants for the purpose of seed production.","",""
"4","01.11","Cultivo de cereales (excepto arroz), leguminosas y semillas oleaginosas","Esta clase comprende todos los tipos de cultivo de cereales, leguminosas y semillas oleaginosas en superficies a cielo abierto. El cultivo de estos productos suele combinarse dentro de cada unidad agraria.

Esta clase comprende:
- el cultivo de cereales como:
• trigo
• maíz en grano
• sorgo
• cebada
• centeno
• avena
• mijo
• otros cereales n.c.o.p.
- el cultivo de leguminosas como:
• alubias
• habas
• garbanzos
• judía carilla
• lentejas
• altramuces
• guisantes
• guisante de Angola
• otras leguminosas
- el cultivo de semillas oleaginosas como:
• habas de soja
• cacahuetes
• semilla de algodón
• semilla de ricino
• semilla de linaza
• semilla de mostaza
• semilla de níger
• colza
• semilla de cártamo
• semilla de sésamo
• semillas de girasol
• otras semillas oleaginosas","","Esta clase no comprende:
- el cultivo de arroz (véase 01.12)
- el cultivo de maíz dulce (véase 01.13)
- el cultivo de maíz para pienso y forraje (véase 01.19)
- el cultivo de frutos oleaginosos (véase 01.26)","","0111","This class includes all forms of growing of cereals, leguminous crops and oil seeds in open fields. The growing of these crops is often combined within agricultural units.

This class includes:
- growing of cereals such as:
  • wheat
  • grain maize
  • sorghum
  • barley
  • rye
  • oats
  • millets
  • other cereals n.e.c.
- growing of leguminous crops such as:
  • beans
  • broad beans
  • chick peas
  • cow peas
  • lentils
  • lupines
  • peas
  • pigeon peas
  • other leguminous crops
- growing of oil seeds such as:
  • soya beans
  • groundnuts
  • castor bean
  • linseed
  • mustard seed
  • niger seed
  • rapeseed
  • safflower seed
  • sesame seed
  • sunflower seed
  • other oil seeds","","This class excludes:
- growing of rice, see 01.12
- growing of sweet corn, see 01.13
- growing of maize for fodder, see 01.19
- growing of oleaginous fruits, see 01.26"
"4","01.12","Cultivo de arroz","","","","","0112","","",""
"4","01.13","Cultivo de hortalizas, raíces y tubérculos","Esta clase comprende:
- el cultivo de hortalizas de hoja o tallo, como:
• alcachofas
• espárragos
• coles
• coliflor y brécol
• lechuga y escarola
• espinacas
• otras hortalizas de hoja grande o tallo endeble
- el cultivo de hortalizas que dan frutos, como:
• pepinos y pepinillos
• berenjenas
• tomates
• sandías
• melón cantalupo
• otros melones y hortalizas que dan frutos
- el cultivo de hortalizas con raíces, bulbos o tubérculos, como:
• zanahorias
• nabos
• ajos
• cebollas (incluidos chalotas)
• puerros y otras hortalizas aliáceas
• otras hortalizas con raíces, bulbos o tubérculos
- el cultivo de setas y trufas
- el cultivo de semillas de hortalizas, incluidas las semillas de remolacha azucarera y excluidas otras semillas de remolacha
- el cultivo de remolacha azucarera
- el cultivo de otras hortalizas
- el cultivo de raíces y tubérculos como:
• patatas
• boniatos y batatas
• mandioca
• ñame
• otras raíces y tubérculos","","Esta clase no comprende:
- el cultivo de chiles, pimientos (capsicum sop.) y otras especias y plantas aromáticas (véase 01.28)
- el cultivo de blanco de seta (véase 01.30)","","0113","This class includes:
- growing of leafy or stem vegetables such as:
  • artichokes
  • asparagus
  • cabbages
  • cauliflower and broccoli
  • lettuce and chicory
  • spinach
  • other leafy or stem vegetables
- growing of fruit bearing vegetables such as:
  • cucumbers and gherkins
  • eggplants (aubergines)
  • tomatoes
  • watermelons
  • cantaloupes
  • other melons and fruit-bearing vegetables
- growing of root, bulb or tuberous vegetables such as:
  • carrots
  • turnips
  • garlic
  • onions (incl. shallots)
  • leeks and other alliaceous vegetables
  • other root, bulb or tuberous vegetables
- growing of mushrooms and truffles
- growing of vegetable seeds, including sugar beet seeds, excluding other beet seeds
- growing of sugar beet
- growing of other vegetables
- growing of roots and tubers such as:
  • potatoes
  • sweet potatoes
  • cassava
  • yams
  • other roots and tubers","","This class excludes:
- growing of chillies, peppers (capsicum sop.) and other spices and aromatic crops, see 01.28
- growing of mushroom spawn, see 01.30"
"4","01.14","Cultivo de caña de azúcar","","","Esta clase no comprende:
- el cultivo de remolacha azucarera (véase 01.13)","","0114","","","This class excludes:
- growing of sugar beet, see 01.13"
"4","01.15","Cultivo de tabaco","","","Esta clase no comprende:
- la fabricación de productos del tabaco (véase 12.00)","","0115","","","This class excludes:
- manufacture of tobacco products, see 12.00"
"4","01.16","Cultivo de plantas para fibras textiles","Esta clase comprende:
- el cultivo de algodón
- el cultivo de yute, kenaf y otras fibras textiles blandas
- el cultivo de lino y cáñamo
- el cultivo de sisal y otras fibras textiles del género agave
- el cultivo de abacá, ramio y otras fibras textiles de origen vegetal
- el cultivo de otras plantas textiles","","","","0116","This class includes:
- growing of cotton
- growing of jute, kenaf and other textile bast fibres
- growing of flax and true hemp
- growing of sisal and other textile fibre of the genus agave
- growing of abaca, ramie and other vegetable textile fibres
- growing of other fibre crops","",""
"4","01.19","Otros cultivos no perennes","Esta clase comprende el cultivo de las demás plantas no perennes:
- el cultivo de colinabos, remolacha forrajera, raíces forrajeras, tréboles, alfalfa, pipirigallo, maíz para pienso y forraje y otras gramíneas, coles forrajeras y productos similares para forraje
- el cultivo de trigo sarraceno
- el cultivo de semillas de remolacha (excluidas las semillas de remolacha azucarera) y las semillas de plantas forrajeras
- el cultivo de flores
- la producción de flores cortadas y capullos
- el cultivo de semillas de flores","","Esta clase no comprende:
- el cultivo de especias no perennes, plantas aromáticas, plantas para la elaboración de fármacos y narcóticos (véase 01.28)","","0119","This class includes the growing of all other non-perennial crops:
- growing of swedes, mangolds, fodder roots, clover, alfalfa, sainfoin, fodder maize and other grasses, forage kale and similar forage products
- growing of beet seeds (excluding sugar beet seeds) and seeds of forage plants
- growing of flowers
- production of cut flowers and flower buds
- growing of flower seeds","","This class excludes:
- growing of non-perennial spices, aromatic, drug and pharmaceutical crops, see 01.28"
"3","01.2","Cultivos perennes","Este grupo comprende el cultivo de productos perennes, es decir, plantas que duran más de dos temporadas, bien porque se secan después de cada estación o porque crecen continuamente. Se incluye el cultivo de estas plantas para la producción de semillas.","","","","012","This group includes the growing of perennial crops, i.e. plants that lasts for more than two growing seasons, either dying back after each season or growing continuously. Included is the growing of these plants for the purpose of seed production.","",""
