"id","parent_id:id","code","name"
"nace_root","","","NACE"
"nace_A","nace_root","A","AGRICULTURE, FORESTRY AND FISHING"
"nace_01","nace_A","01","Crop and animal production, hunting and related service activities"
"nace_01_1","nace_01","01.1","Growing of non-perennial crops"
"nace_01_11","nace_01_1","01.11","Growing of cereals (except rice), leguminous crops and oil seeds"
"nace_01_12","nace_01_1","01.12","Growing of rice"
"nace_01_13","nace_01_1","01.13","Growing of vegetables and melons, roots and tubers"
"nace_01_14","nace_01_1","01.14","Growing of sugar cane"
"nace_01_15","nace_01_1","01.15","Growing of tobacco"
"nace_01_16","nace_01_1","01.16","Growing of fibre crops"
"nace_01_19","nace_01_1","01.19","Growing of other non-perennial crops"
"nace_01_2","nace_01","01.2","Growing of perennial crops"
"nace_01_21","nace_01_2","01.21","Growing of grapes"
"nace_01_22","nace_01_2","01.22","Growing of tropical and subtropical fruits"
"nace_01_23","nace_01_2","01.23","Growing of citrus fruits"
"nace_01_24","nace_01_2","01.24","Growing of pome fruits and stone fruits"
"nace_01_25","nace_01_2","01.25","Growing of other tree and bush fruits and nuts"
"nace_01_26","nace_01_2","01.26","Growing of oleaginous fruits"
"nace_01_27","nace_01_2","01.27","Growing of beverage crops"
"nace_01_28","nace_01_2","01.28","Growing of spices, aromatic, drug and pharmaceutical crops"
"nace_01_29","nace_01_2","01.29","Growing of other perennial crops"
"nace_01_3","nace_01","01.3","Plant propagation"
"nace_01_30","nace_01_3","01.30","Plant propagation"
"nace_01_4","nace_01","01.4","Animal production"
"nace_01_41","nace_01_4","01.41","Raising of dairy cattle"
"nace_01_42","nace_01_4","01.42","Raising of other cattle and buffaloes"
"nace_01_43","nace_01_4","01.43","Raising of horses and other equines"
"nace_01_44","nace_01_4","01.44","Raising of camels and camelids"
"nace_01_45","nace_01_4","01.45","Raising of sheep and goats"
"nace_01_46","nace_01_4","01.46","Raising of swine/pigs"
"nace_01_47","nace_01_4","01.47","Raising of poultry"
"nace_01_49","nace_01_4","01.49","Raising of other animals"
"nace_01_5","nace_01","01.5","Mixed farming"
"nace_01_50","nace_01_5","01.50","Mixed farming"
